-180,-56.80876923
-179.278564453125,-56.67860413
-178.5571136474609,-56.59115601
-177.8356781005859,-56.57488251
-177.1142272949219,-56.58708954
-176.3927917480469,-56.64810181
-175.6713409423828,-56.77012634
-174.9499053955078,-57.07112122
-174.2284545898438,-57.35787964
-173.5070190429688,-57.87445068
-172.7855682373047,-58.47440338
-172.0641326904297,-59.26959991
-171.3426818847656,-60.08919525
-170.6212463378906,-61.36435699
-169.8997955322266,-62.46664429
-169.1783599853516,-63.23743439
-168.4569091796875,-63.09914398
-167.7354736328125,-62.2327652
-167.0140228271484,-61.03895569
-166.2925872802734,-59.78413391
-165.5711364746094,-58.75302887
-164.8497009277344,-57.88665009
-164.1282501220703,-57.11383057
-163.4068145751953,-56.51997375
-162.6853637695313,-56.07458496
-161.9639282226563,-55.73901367
-161.2424774169922,-55.60681915
-160.5210418701172,-55.58242035
-159.7996063232422,-55.70444489
-159.0781555175781,-56.01153564
-158.3567199707031,-56.44472504
-157.6352691650391,-57.11585999
-156.9138336181641,-57.98223877
-156.1923828125,-59.00927734
-155.470947265625,-60.28443909
-154.7494964599609,-61.93177032
-154.0280609130859,-63.61978149
-153.3066101074219,-65.47252655
-152.5851745605469,-66.97342682
-151.8637237548828,-66.25551605
-151.1422882080078,-64.64072418000001
-150.4208374023438,-63.02592468
-149.6994018554688,-61.6043396
-148.9779510498047,-60.15631104
-148.2565155029297,-59.10282898
-147.5350646972656,-58.23239136
-146.8136291503906,-57.47583771
-146.0921783447266,-56.93282318
-145.3707427978516,-56.58302307
-144.6492919921875,-56.52810669
-143.9278564453125,-56.52404022
-143.2064056396484,-56.61556244
-142.4849700927734,-56.98366547
-141.7635345458984,-57.45753479
-141.0420837402344,-58.20188141
-140.3206481933594,-58.98690796
-139.5991973876953,-59.71905518
-138.8777618408203,-60.30680847
-138.1563110351563,-60.45730591
-137.4348754882813,-60.0342865
-136.7134246826172,-59.64177704
-135.9919891357422,-59.27162933
-135.2705383300781,-59.02351379
-134.5491027832031,-58.99097443
-133.8276519775391,-59.02555084
-133.1062164306641,-59.27570343
-132.384765625,-59.75566101
-131.663330078125,-60.45527649
-130.9418792724609,-61.37452698
-130.2204437255859,-62.07006836
-129.4989929199219,-62.6151123
-128.7775573730469,-62.44834137
-128.0561065673828,-61.54536438
-127.3346710205078,-60.36579132
-126.6132278442383,-59.43026733
-125.8917846679688,-58.71845245
-125.1703414916992,-58.26899719
-124.4488983154297,-58.09409332
-123.7274551391602,-58.09002686
-123.0060119628906,-58.18154144
-122.2845687866211,-58.60253143
-121.5631256103516,-59.28383636
-120.841682434082,-60.44306946
-120.1202392578125,-62.03549194
-119.398796081543,-63.60147858
-118.6773529052734,-64.27058411
-117.9559097290039,-62.63137817
-117.2344665527344,-60.67694855
-116.5130233764648,-59.26959991
-115.7915802001953,-58.25476074
-115.0701370239258,-57.6242981
-114.3486938476563,-57.36194611
-113.6272583007813,-57.37211609
-112.9058151245117,-57.57548523
-112.1843719482422,-58.04935455
-111.4629287719727,-58.78759766
-110.7414855957031,-59.77803802
-110.0200424194336,-61.03895569
-109.2985992431641,-61.99481964
-108.5771560668945,-62.55612946
-107.855712890625,-62.39343262
-107.1342697143555,-61.99684906
-106.4128265380859,-61.75279999
-105.6913833618164,-61.72026062
-104.9699401855469,-61.88092804
-104.2484970092773,-62.39139557
-103.5270538330078,-63.25574493
-102.8056106567383,-64.402771
-102.0841674804688,-66.26568604000001
-101.3627243041992,-68.27502441
-100.6412811279297,-70.17250824
-99.91983795166016,-72.0659256
-99.19839477539063,-73.18652344
-98.47695159912109,-73.83732605
-97.75550842285156,-74.3376236
-97.03406524658203,-75.8792038
-96.3126220703125,-79.28979492000001
-95.59117889404297,-82.09432983000001
-94.86973571777344,-75.19993590999999
-94.14830017089844,-71.39276123000001
-93.42685699462891,-69.01531219
